Brand,Model,Series,Thickness,Dimensions (WxDxH),Weight,Colors,Operating System,Operating System Type,Display Size,Display Resolution,Pixel Density,Display Type,Display Features,Display Touchscreen,Processor,Clock-speed,Chipset,Cache,Graphic Processor,Capacity,RAM Type,RAM Speed,Memory Slots,Memory Layout,SSD Capacity,SSD Type,Battery Cell,Battery Type,Power Supply,Wireless LAN,Wi-Fi Version,Bluetooth,Bluetooth Version,Other Networking Options,HDMI Ports,USB 2.0 slots,SD Card Reader,Ethernet ports,Headphone Jack,Microphone Jack,Web-cam,Video Recording,Audio Solution,Speakers,Sound Technologies,In-built Microphone,Microphone Type,Pointing device,Keyboard,Fingerprint scanner,Face Recognition,Warranty,Sales Package,Refresh Rate,Brightness,Graphics Memory,Expandable Memory,Thunderbolt Port,VGA Port,Backlit Keyboard,HDD Capacity,HDD Speed(RPM),HDD Type,USB 3.0 slots,Secondary cam(Rear-facing),Lockport,Battery Life,USB Type C,Battery Capacity,Aspect Ratio,Number of Cores,SSD Interface,Fast Charging Support,market_status,Price (Rs)
HP,14-dv0055TU (2N1L1PA),Pavilion,17 Millimeter thickness,325 x 216 x 17  mm,1.41 Kg weight (Light-weight),Tranquil Pink,Windows 10 Home Basic,64-bit,14 Inches (35.56 cm),1920 x 1080 Pixels,157 ppi,LED,Full HD LED Backlit Anti-glare IPS Micro-edge Display   250 nits Brightness   45% NTSC,No,Intel Core i5-1135G7 (11th Gen),4.2 Ghz,Intel SoC,8 MB,Intel Iris X,16 GB,DDR4,3200 Mhz,2,2x8 Gigabyte,512 GB,M.2/Optane,3 Cell,Li-Ion,43 W AC Adapter W,802.11 b/g/n/ax,6.0,Yes,5.0,Multi-Format SD media card reader,1,2.0,Yes,1.0,Yes,Yes,Yes,720p HD,HP Audio Boost,Dual Speakers,Bang & Olufsen,Yes,Dual Array Digital Microphone,Touchpad with Multi-touch Gesture Support,Standard Notebook Keyboard,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,,,,,,,,,,,,,,,,,,,Available,71990.0
Acer,PHN16-71 (NH.QLTSI.002),Predator Helios Neo 16,26.5 Millimeter thickness,361 x 279 x 26.5  mm,2.6 Kg weight,Black,Windows 11 Home Basic,,16 Inches (40.64 cm),1920 x 1200 Pixels,142 ppi,,Display with IPS (In-Plane Switching) Technology   WUXGA 1920 x 1200   High-Brightness (400 Nits) Acer ComfyView LED-Backlit TFT LCD   Supporting 165 Hz   Grey to Grey 3 ms By Overdrive   Nvidia Advanced Optimus Capable,No,Intel Core i7-13700HX (13th Gen),,,,NVIDIA GeForce RTX 4050,16 GB,DDR5,,1,1*16 Gigabyte,512 GB,,4 Cell,Li-Ion,230 W,802.11 a/b/g/n/ac,5.0,Yes,5.1,,1,,Yes,1.0,Yes,Yes,Yes,720p,,Stereo Speakers,,Yes,Built-In Microphones,"Multi-Gesture Touchpad, Supporting Two-Finger Scroll; Pinch; Gestures To Open Cortana, Action Center, Multitasking; Application Commands","103-/104-/107-Key FineTip RGB- Keyboard With Independent Standard Numeric Keypad, International Language Support",,,,"Laptop, Power Adaptor, User Guide, Warranty Documents",165 Hz,400 nits,6 GB,32 GB,4.0,No,"Yes, 103-/104-/107-Key FineTip RGB-Backlit Keyboard With Independent Standard Numeric Keypad, International Language Support",,,,,,,,,,,,,,Available,105999.0
Dell,15 5570 (A560126WIN9),Inspiron 15,22.7 Millimeter thickness,380 x 258 x 22.7  mm,2.2 Kg weight,Platinum Silver,Windows 10 Home Basic,64-bit,15.6 Inches (39.62 cm),1920 x 1080 Pixels,141 ppi,LED,Full HD LED Backlit Anti-glare Display,No,Intel Core i5-8250U (8th Gen),1.6 Ghz,,6 MB,AMD Radeon 530,8 GB,DDR4,2400 Mhz,1,1 x 8 Gigabyte,,,3 Cell,Li-Ion,42 W AC Adapter W,802.11 a/b/g/n/ac,5.0,Yes,4.1,Multi-Format SD Media Card Reader,1,1.0,Yes,1.0,Yes,Yes,Yes,HD 720p,,Stereo Speakers,Waves MaxxAudio Pro,Yes,Dual Array Digital Microphone,Touchpad with Multi-touch Gesture Support,Standard Notebook Keyboard,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,2 GB,32 GB,,Yes,,2 TB,5400 RPM,SATA,2.0,No,No,,,,,,,,Available,54999.0
MSI,GV62 7RD-2297XIN,,29 Millimeter thickness,383 x 260 x 29  mm,2.2 Kg weight,Black,DOS,64-bit,15.6 Inches (39.62 cm),1920 x 1080 Pixels,141 ppi,LED,Full HD LED Backlit Wideview Anti-glare Display,No,Intel Core i7-7700HQ (7th Gen),2.8 Ghz,,6 MB,NVIDIA GeForce GTX 1050,8 GB,DDR4,2400 Mhz,1,1x8 Gigabyte,,,6 Cell,Li-Ion,,802.11 a/b/g/n/ac,5.0,Yes,4.2,Multi-Format SD Media card Reader,1,1.0,Yes,1.0,Yes,Yes,Yes,720p HD,,Quad Speakers,Nahimic 2 Audio Technology Delivering 360 Degree Immersive Audio Experience,Yes,Digital Microphone,Touchpad with Multi-Touch Gestures Enabled,Steelseries Gaming Backlight Keyboard (Red Color),No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,4 GB,32 GB,,Yes,,1 TB,5400 RPM,SATA,2.0,No,No,,,,,,,,Available,67990.0
Dell,15 3515 (D560702WIN9BE),Inspiron 15,23 Millimeter thickness,358.50 x 17.50 x 23  mm,1.8 Kg weight,"Carbon Black, Platinum Silver",Windows 11 Home Basic,64-bit,15.6 Inches (39.62 cm),1920 x 1080 Pixels,141 ppi,,HD AG Narrow Border,No,AMD Dual Core Athlon 3050U,,,4 MB,AMD Radeon,4 GB,DDR4,2666 Mhz,1,,256 GB,,3 Cell,,65 W,802.11 a/b/g/n/ac,5.0,Yes,5.0,,1,1.0,Yes,1.0,Yes,Yes,Yes,,Waves Maxx Audio Pro,Built-in Speakers,,,,Touchpad,English International Non Keyboard,,,1 Year,"Laptop, battery, adapter, cables and user manuals",,,,,,,"Yes, English International Non Backlit Keyboard",,,,,,,7 Hrs,2.0,,,,,,Available,42210.0
HP,15s-ey1004AU (38Z30PA),,17.9 Millimeter thickness,358.5 x 242 x 17.9  mm,1.7 Kg weight,Natural Silver,Windows 10 Home Basic,64-bit,15.6 Inches (39.62 cm),1920 x 1080 Pixels,141 ppi,LED,Diagonal   Full HD Micro-edge   anti-glare   220 nits   45% NTSC Display,No,AMD Hexa Core Ryzen 5 4500U,2.3 Ghz,,8 MB,AMD Radeon,8 GB,DDR4,2666 Mhz,1,1x8 Gigabyte,256 GB,,3 Cell,Li-Ion,65 W AC Adapter W,802.11 a/b/g/n/ac,5.0,Yes,4.2,,1,,Yes,,Yes,Yes,Yes,720p HD,,Dual Speakers,,Yes,Integrated Dual Array Digital Microphone,Touchpad with Multi-Touch Gestures Enabled,Standard Notebook Keyboard,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,,,,,,,,,1.0,No,,,1.0,,,,,,Available,47990.0
Lenovo,(81WE0144IN),Ideapad Slim 3i,19.9 Millimeter thickness,362.2 x 253.4 x 19.9  mm,1.85 Kg weight,Grey,Windows 10 Home Basic,64-bit,15.6 Inches (39.62 cm),1920 x 1080 Pixels,141 ppi,LED,Full HD Anti-glare Display,No,Intel Core i5-10210U (10th Gen),1.6 Ghz,,6 MB,Intel Integrated Graphics,8 GB,DDR4,,1,1x8 Gigabyte,,,2 Cell,Li-Po,,802.11 a/b/g/n/ac,5.0,Yes,5.0,Multi-Format SD media card reader,,1.0,Yes,,Yes,Yes,Yes,720p HD,,Dual Speakers,,Yes,Built-in Microphone,Touchpad with Multi-Touch Gestures Enabled,Standard Notebook Keyboard,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,,,,,,1 TB,5400 RPM,SATA,,No,,,,,,,,,Available,44990.0
iBall,CompBook Premio v3.0,,24 Millimeter thickness,334 x 222 x 24  mm,1.3 Kg weight (Light-weight),Black,Windows 10 Home Basic,64-bit,14 Inches (35.56 cm),1920 x 1080 Pixels,157 ppi,LED,Full HD LED IPS Multi-touch Display,Yes,Intel Pentium Quad Core N4200,2.1 Ghz,,2 MB,Intel HD Graphics,4 GB,DDR3,1600 Mhz,1,1x4 Gigabyte,32 GB,,,Li-Po,38 W AC Adapter W,802.11 a/b/g/n/ac,5.0,Yes,4.0,Multi-Format SD Media card Reader,1,2.0,Yes,1.0,Yes,Yes,Yes,720p HD,,Dual Speakers,,Yes,Internal Microphone,Touchpad with Multi-Touch Gestures Enabled,Standard Notebook Keyboard,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,,,,,,,,,1.0,No,No,,,,,,,,Available,13990.0
Asus,14 OLED M3401QC-KM045WS,VivoBook Pro,19 Millimeter thickness,317 x 229 x 19  mm,1.45 Kg weight (Light-weight),Quiet Blue,Windows 11 Home Basic,,14 Inches (35.56 cm),2880 x 1800 Pixels,243 ppi,OLED,NanoEdge 2.8K OLED display,No,AMD Octa Core Ryzen 7-5800H,4.2 Ghz,,20 MB,NVIDIA GeForce RTX 3050,16 GB,DDR4,3200 Mhz,1,1*16 Gigabyte,512 GB,,3 Cell,Li-Po,65 W,802.11 b/g/n/ax,6.0,Yes,,,1,2.0,,,Yes,Yes,Yes,720,,Built-in Speaker,"Harman/kardon (Mainstream),",Yes,,,,Yes,,1 Year,"Laptop, Power Adaptor, User Guide, Warranty Documents",90 Hz,,4 GB,16 GB,,,,,,,2.0,,,8 Hrs,,63 WHrs,,,,,Available,89990.0
Asus,UX430UA-GV334T,Zenbook,15.9 Millimeter thickness (Slim),324 x 225 x 15.9  mm,1.25 Kg weight (Light-weight),Black,Windows 10 Professional,64-bit,14 Inches (35.56 cm),1920 x 1080 Pixels,157 ppi,LED,NanoEdge Anti-Glare LED-Backlit Display,No,Intel Core i5-8250U (8th Gen),3.4 Ghz,,6 MB,Intel UHD 620,8 GB,DDR4,2133 Mhz,1,1 x 8 Gigabyte,256 GB,,3 Cell,Li-Po,50 W AC Adapter W,802.11 a/b/g/n/ac,5.0,Yes,4.1,Multi-Format SD media card reader,1,1.0,Yes,,Yes,Yes,Yes,HD 720p,Harman kardon,Dual Speakers,ASUS SonicMaster Stereo Audio System,Yes,Dual Array Digital Microphone with Cortana voice-recognition support,Precision touchpad (PTP) technology supports up to four-finger smart gestures,"Full-size , with 1.4mm key travel",Yes,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,,,,Yes,"Yes, Full-size backlit, with 1.4mm key travel",,,,1.0,No,No,9 Hrs,,,,,,,Available,45990.0
Lenovo,3 15ITL6 (82H8014BIN),Ideapad,19.9 Millimeter thickness,359.2 x 236.5 x 19.9  mm,1.65 Kg weight,Arctic Grey,Windows 10 Home Basic,64-bit,15.6 Inches (39.62 cm),1920 x 1080 Pixels,141 ppi,LED,Full HD LED Backlit   Anti-Glare Display (250 nits Brightness),No,Intel Core i5-1135G7 (11th Gen),2.4 Ghz,,8 MB,Intel Iris Xe,8 GB,DDR4,3200 Mhz,1,1x8 Gigabyte,512 GB,,,Li-Ion,65 W AC Adapter W,802.11 a/b/g/n/ac,5.0,Yes,5.0,Multi-Format SD media card reader (4-in-1),1,,Yes,,Yes,Yes,Yes,720p HD,,Built-in Dual Stereo Speakers,"Dolby Audio, Realtek ALC 3287 codec, High Definition (HD) Audio",Yes,Built-In Dual Array Microphone,Touchpad with Multi-Touch Gestures Enabled,Standard English Keyboard,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,,12 GB,,,"Yes, Standard English Backlit Keyboard",,,,1.0,No,,7.5 Hrs,,,,,,,Available,81090.0
Asus,TP412FA-EC371TS,VivoBook Flip 14,17.6 Millimeter thickness,327 x 225 x 17.6  mm,1.5 Kg weight,Star Grey,Windows 10 Home Basic,64-bit,14 Inches (35.56 cm),1920 x 1080 Pixels,157 ppi,LED,Full HD LED Backlit Anti-glare IPS Touch Display (250 nits Brightness   45% NTSC   82% Screen-to-body Ratio),No,Intel Core i3-10110U (10th Gen),2.1 Ghz,,4 MB,Intel UHD,4 GB,DDR4,,1,1x4 Gigabyte,512 GB,,3 Cell,Li-Ion,45 W AC Adapter W,802.11 b/g/n/ax,6.0,Yes,5.0,,1,2.0,Yes,,Yes,Yes,Yes,720p HD,,Dual Speakers,Sonic Master,Yes,Built-in Array Microphone,Touchpad with Multi-Touch Gestures Enabled,Chiclet Keyboard,No,No,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,,,,,"Yes, Backlit Chiclet Keyboard",,,,,No,,,1.0,,,,,,Available,46990.0
Acer,A515-51G (NX.GVMSI.005),Aspire 5,21 Millimeter thickness,381.6 x 263 x 21  mm,2.1 Kg weight,Black,Linux,64-bit,15.6 Inches (39.62 cm),1920 x 1080 Pixels,141 ppi,LED,Full HD LED Backlit Anti-Glare TFT Display,No,Intel Core i5-7200U (7th Gen),2.5 Ghz,,3 MB,NVIDIA Geforce MX130,8 GB,DDR4,2400 Mhz,1,1x8 Gigabyte,,,4 Cell,Li-Ion,65 W AC Adapter W,802.11 a/b/g/n/ac,5.0,Yes,4.0,Multi-Format SD Media card Reader,1,2.0,Yes,1.0,Yes,Yes,Yes,720p HD,,Stereo Speakers,Acer TrueHarmony Technology,Yes,Digital Microphone,Touchpad with Multi-Touch Gestures Enabled,Standard Notebook Keyboard,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,2 GB,16 GB,,,,1 TB,5400 RPM,SATA,1.0,No,No,7 Hrs,1.0,,,,,,Available,44890.0
Dell,17 7567 (A562101SIN9),Inspiron 17,25.4 Millimeter thickness,384.9 x 274.73 x 25.4  mm,2.62 Kg weight,Black,Windows 10 Home Basic,64-bit,15.6 Inches (39.62 cm),1920 x 1080 Pixels,141 ppi,LED,Full HD LED Backlit Display,No,Intel Core i5-7300HQ (7th Gen),2.5 Ghz,,6 MB,NVIDIA GeForce GTX 1050T,8 GB,DDR4,,1,1 x 8 Gigabyte,,,6 Cell,Li-Ion,,802.11 a/b/g/n/ac,5.0,Yes,4.2,Multi-Format SD media card reader,1,2.0,Yes,1.0,Yes,Yes,Yes,1080p HD,,Dual Speakers,Waves MaxxAudio Pro,Yes,Monaural Microphone,Touchpad,Full-sized Spill-resistant Keyboard with Numeric Keypad,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,4 GB,,,Yes,,1 TB,7200 RPM,SATA,2.0,No,Yes,,,,,,,,Available,64990.0
Dell,15 3567 (A561216SIN9),Inspiron 15,25.1 Millimeter thickness,380 x 260 x 25.1  mm,2.5 Kg weight,Black,Windows 10 Home Basic,64-bit,15.6 Inches (39.62 cm),1366 x 768 Pixels,100 ppi,LED,HD LED backlit Display,No,Intel Core i5-7200U (7th Gen),2.5 Ghz,,3 MB,AMD Radeon R5 M430,4 GB,DDR4,,,1 x 4 Gigabyte,,,4 Cell,Li-Ion,40 W AC Adapter W,802.11 a/b/g/n/ac,5.0,Yes,4.1,1 multi-format SD media card reader,1,1.0,Yes,,Yes,Yes,Yes,,HD Audio Solution,Stereo Speakers,Waves MaxxAudio Pro,Yes,Digital Microphone,Touchpad with Multi-touch Gestures support,Standard Keyboard,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,2 GB,,,Yes,,1 TB,5400 RPM,SATA,2.0,No,,,,,,,,,Available,44182.0
MSI,Modern 14 A10M-652IN,,15.9 Millimeter thickness (Slim),322 x 222.9 x 15.9  mm,1.19 Kg weight (Light-weight),Silver,Windows 10 Home Basic,64-bit,14 Inches (35.56 cm),1920 x 1080 Pixels,157 ppi,LED,Full HD LED Backlit IPS Display,No,Intel Core i5-10510U (10th Gen),1.8 Ghz,,8 MB,Intel UHD,8 GB,DDR4,2666,1,1x8 Gigabyte,512 GB,,4 Cell,Li-Po,65 W AC Adapter W,802.11 a/b/g/n/ac,5.0,Yes,5.0,Multi-Format SD Media card Reader,1,,Yes,,Yes,Yes,Yes,720p HD,,Dual Speakers,,Yes,Internal Microphone,Touchpad with multi-touch gesture support,,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,,32 GB,,,"Yes, Backlit Keyboard",,,,,No,No,,2.0,,,,,,Available,54990.0
Lenovo,(82EY00UAIN),Ideapad Gaming 3i,25 Millimeter thickness,359 x 250 x 25  mm,2.2 Kg weight,Black,Windows 10 Home Basic,64-bit,15.6 Inches (39.62 cm),1920 x 1080 Pixels,141 ppi,LED,Full HD IPS LED Backlit Anti-glare Display,No,AMD Hexa Core Ryzen 5 4600H,3.0 Ghz,,8 MB,NVIDIA GeForce GTX 1650,8 GB,DDR4,3200 Mhz,1,1x8 Gigabyte,512 GB,,3 Cell,Li-Ion,45 W AC Adapter W,802.11 a/b/g/n/ac,5.0,Yes,5.0,,1,,,1.0,Yes,Yes,Yes,720p HD,,Built-in Speakers,Dolby Audio,Yes,Built-in Microphone,Touchpad with Multi-Touch Gestures Enabled,"Blue LED , English Keyboard",No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",120 Hz,,4 GB,,,,"Yes, Blue LED Backlit, English Keyboard",,,,1.0,No,,,1.0,,,,,,Available,66490.0
Asus,X515JA-EJ512TS,VivoBook 15,19.9 Millimeter thickness,360.2 x 234.9 x 19.9  mm,1.80 Kg weight,Transparent Silver,Windows 10 Home Basic,64-bit,15.6 Inches (39.62 cm),1920 x 1080 Pixels,141 ppi,LED,Full HD LED Backlit Anti-glare Display (16:9 Aspect Ratio   45% NTSC Color Gamut   200 nits Brightness   83% Screen-to-body Ratio),No,Intel Core i5-1035G1 (10th Gen),1.0 Ghz,Intel SoC,6 MB,Intel UHD,8 GB,DDR4,,1,1x8 Gigabyte,256 GB,,2 Cell,Li-Ion,45 W AC Adapter W,802.11 a/b/g/n/ac,5.0,Yes,4.1,Multi-Format SD media card reader,1,2.0,Yes,,Yes,Yes,Yes,720p HD,,Built-in Speakers,"Audio by ICEpower, Sonic Master, Cortana Support",Yes,Built-in Microphone,Touchpad with Multi-Touch Gestures Enabled,Chiclet Keyboard with Num-key,Yes,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,,,,,,1 TB,5400 RPM,SATA,,No,Yes,,1.0,,,,,,Available,50990.0
Lenovo,3 14ACL6 (82KT00GLIN),Ideapad,17.9 Millimeter thickness,356.67 x 233.13 x 17.9  mm,1.66 Kg weight,Abyss Blue,Windows 11 Home Basic,64-bit,15.6 Inches (39.62 cm),1920 x 1080 Pixels,141 ppi,,Full HD (IPS 300nits Anti-glare   45% NTSC) Display,No,AMD Hexa Core Ryzen 5 5500U,2.1 Ghz,,,AMD Radeon,8 GB,DDR4,3202 Mhz,1,1x8 Gigabyte,512 GB,,,Li-Ion,65 W AC Adapter W,802.11 b/g/n/ax,6.0,Yes,5.0,Multi-Format SD media card reader (4-in-1),1,1.0,Yes,,Yes,Yes,Yes,720p HD,,Built-in Stereo Speakers,"Dolby Audio, High Definition (HD) Audio, Realtek ALC3287 codec",Yes,Built-in Array Microphone,Touchpad with Multi-Touch Gestures Enabled,English Keyboard,Yes,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,,,,,"Yes, Backlit English Keyboard",,,,1.0,No,,,,,,,,,Available,48440.0
MSI,Alpha 15 B5EEK-029IN,Alpha 15,23.9 Millimeter thickness,359 x 259 x 23.9  mm,2.35 Kg weight,Black,Windows 10 Home Basic,64-bit,15.6 Inches (39.62 cm),1920 x 1080 Pixels,141 ppi,,Full HD   2%NTSC IPS-Level   close to 100%sRGB Display,No,AMD Octa Core Ryzen 7 5800H,,,,AMD Radeon RX 6600M,16 GB,DDR4,,1,1x16 Gigabyte,1 TB,,4 Cell,Li-Ion,180 W AC Adapter W,802.11 b/g/n/ax,6.0,Yes,5.1,,1,1.0,,,Yes,Yes,Yes,720p HD,,Built-in Dual Speakers,2x 2W Realtek ALC233,Yes,Built-in Microphone,Touchpad with Multi-Touch Gestures Enabled,RGB Gaming Keyboard,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",144 Hz,,8 GB,,,,"Yes, RGB Backlit Gaming Keyboard",,,,,No,,,1.0,,,,,,Available,114990.0
Asus,X415EA-EB572WS,VivoBook 14,21 Millimeter thickness,325.4 x 199 x 21  mm,1.6 Kg weight,Transparent Silver,Windows 11 Home Basic,64-bit,14 Inches (35.56 cm),1920 x 1080 Pixels,157 ppi,LED,Anti-glare FHD Display,No,Intel Core i5-1135G7 (11th Gen),4.2 Ghz,Intel,8 MB,Intel Iris Xe,8 GB,DDR4,3200 Mhz,1,1*8 Gigabyte,256 GB,,2 Cell,Li-Ion,37 W,802.11 a/b/g/n/ac,5.0,Yes,4.1,,1,2.0,,,Yes,Yes,Yes,720p,,Built-in Speaker,,Yes,Built-In Microphones,,Chiclet Keyboard,Yes,Yes,1 Year,"Laptop, Power Adaptor, User Guide, Warranty Documents",60 Hz,250 nits,,12 GB,,No,,1 TB,5400 RPM,,,,,6 Hrs,1.0,,16:9,4.0,,,Available,65999.0
MSI,B5EEK-235IN,Alpha 15,23.9 Millimeter thickness,359 x 259 x 23.9  mm,2.35 Kg weight,Black,Windows 11 Home Basic,64-bit,15.6 Inches (39.62 cm),1920 x 1080 Pixels,141 ppi,,Full HD   Refresh Rate: 144 Hz   45% NTSC IPS-Level,No,AMD Octa Core Ryzen 7 - 5800H,4.7 Ghz,,,AMD Radeon RX 6600M,8 GB,DDR4,3200 Mhz,1,1*8 Gigabyte,512 GB,,4 Cell,Li-Ion,180 W,802.11 a/b/g/n/ac,5.0,Yes,5.1,,1,1.0,,1.0,Yes,Yes,Yes,720,,Built-in Dual Speakers,Realtek ALC 233,Yes,Built-in Microphones,,RGB Gaming Keyboard,,,1 Year,"Laptop, Power Adaptor, User Guide, Warranty Documents",144 Hz,,8 GB,,,,,,,,,,,,1.0,,,,,,Available,84990.0
Asus,X515JA-BQ302W,VivoBook 15,19.9 Millimeter thickness,360.2 x 234.9 x 19.9  mm,1.80 Kg weight,Transparent Silver,Windows 11 Home Basic,64-bit,15.6 Inches (39.62 cm),1920 x 1080 Pixels,141 ppi,,Full HD LED Backlit   IPS-level Panel   250nits   45% NTSC color gamut   Anti-glare display,No,Intel Core i3-1005G1 (10th Gen),1.2 Ghz,,4 MB,Intel UHD,8 GB,DDR4,,1,1*8 Gigabyte,,,2 Cell,Li-Ion,45 W,802.11 a/b/g/n/ac,5.0,Yes,4.1,,1,2.0,,,Yes,Yes,Yes,720,SonicMaster,Built-in Speakers,,Yes,Built-in Microphones,,Chiclet Keyboard with Num-key,Yes,,1 Year,"Laptop, Power Adaptor, User Guide, Warranty Documents",,,,,,,,1 TB,5400 RPM,SATA,,,,,1.0,,,,,,Available,27990.0
MSI,C12M-439IN,Modern 14,19.3 Millimeter thickness,319.9 x 223 x 19.3  mm,1.4 Kg weight (Light-weight),Urban Silver,Windows 11 Home Basic,,14 Inches (35.56 cm),1920 x 1080 Pixels,157 ppi,,Full HD   60Hz 45%NTSC IPS-Level,No,Intel Core i5-1235U (12th Gen),3.3 Ghz,,,Intel Iris Xe,16 GB,DDR4,,1,1*16 Gigabyte,512 GB,,3 Cell,Li-Ion,65 W,802.11 b/g/n/ax,6.0,Yes,5.2,,1,2.0,,,Yes,Yes,Yes,720p,,Built-In Speakers,,Yes,Built-In Microphones,Touchpad,Single Backlight Keyboard(White),,,1 Year,"Laptop, Power Adaptor, User Guide, Warranty Documents",60 Hz,,,,,No,,,,,,,,,1.0,,,,,,Available,40499.0
Acer,PH315-51 (NH.Q3FSI.004),Predator Helios 300,26.7 Millimeter thickness,390 x 266 x 26.7  mm,2.7 Kg weight,Black,Windows 10 Home Basic,64-bit,15.6 Inches (39.62 cm),1920 x 1080 Pixels,141 ppi,LED,Full HD LED Backlit Wideview IPS Display,No,Intel Core i5-8300H (8th Gen),2.3 Ghz,Intel HM370 Express,8 MB,NVIDIA GeForce GTX 1060,16 GB,DDR4,2133 Mhz,1,1x16 Gigabyte,128 GB,,4 Cell,Li-Ion,135 W AC Adapter W,802.11 a/b/g/n/ac,5.0,Yes,5.0,Multi-Format SD Media card Reader,1,2.0,Yes,1.0,Yes,Yes,Yes,720p HD,,Dual Speakers,"Acer TrueHarmony Plus Technology, Optimized Dolby Audio Premium Sound Enhancement",Yes,Dual Digital Microphone,Touchpad with Multi-Touch Gestures Enabled,FineTip Keyboard with Independent Standard Numeric Keypad (International Language Support),No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,6 GB,32 GB,,,"Yes, FineTip Backlit Keyboard with Independent Standard Numeric Keypad (International Language Support)",1 TB,5400 RPM,SATA,1.0,No,Yes,5 Hrs,1.0,,,,,,Available,125990.0
HP,14-dv0543TU (4X7D7PA),Pavilion,17 Millimeter thickness,325 x 216 x 17  mm,1.14 Kg weight (Light-weight),Natural Silver,Windows 10 Home Basic,64-bit,14 Inches (35.56 cm),1920 x 1080 Pixels,157 ppi,LED,Full HD (IPS   micro-edge   anti-glare   Brightness: 250 nits   141 ppi   Color Gamut: 45% NTSC),No,Intel Core i5-1135G7 (11th Gen),4.2 Ghz,,8 MB,Intel Iris Xe,8 GB,DDR4,,1,1x8 Gigabyte,512 GB,M.2,3 Cell,Li-Ion,43 W AC Adapter W,802.11 a/b/g/n/ac,5.0,Yes,5.0,,1,,,,Yes,Yes,Yes,720p HD,,Built-in Dual Speakers,Audio by B&O,Yes,Built-in Dual Array Digital Microphones,Touchpad with Multi-Touch Gestures Enabled,Full-size Natural Silver Keyboard,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",144 Hz,,,,,,"Yes, Full-size Backlit Natural Silver Keyboard",,,,2.0,No,,,,,,,NVMe PCIe,,Available,59860.0
HP,15-bw548AU (4NZ61PA),,23.8 Millimeter thickness,380 x 253.8 x 23.8  mm,1.86 Kg weight,Black,Windows 10 Home Basic,64-bit,15.6 Inches (39.62 cm),1366 x 768 Pixels,100 ppi,LED,Diagonal HD SVA BrightView WLED-Dacklit,No,AMD Dual Core E2-9000e,2.5 Ghz,,1 MB,AMD Radeon R2,4 GB,,1866 Mhz,1,1x4 Gigabyte,,,4 Cell,Li-Ion,45 W AC Adapter W,802.11 b/g/n,4.0,Yes,4.0,Multi-Format SD Media card Reader,1,1.0,Yes,1.0,Yes,Yes,Yes,720p HD,,Dual Speakers,,Yes,,Touchpad with Multi-Touch gesture Support,Full-size island-style keyboard,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,,,,,,1 TB,5400 RPM,SATA,,No,No,,,,,,,,Available,24955.0
