product_name,brand,processor,ram,storage,screen_size,price,product_url
HP Notebook 14s | 14 Inch | Core™ i3-11th Gen | 8GB RAM | 256GB SSD,HP,Core™ i3-11th Gen,8GB RAM,256GB SSD,14 Inch,"₹22,500",https://justunboxed.co.in/product/hp-notebook-14s/
Dell Latitude 5490 ,Dell,,,,,"₹22,100",https://justunboxed.co.in/product/dell-latitude-5490-touch/
Lenovo ThinkPad T480 ,Lenovo,,,,,"₹22,000",https://justunboxed.co.in/product/lenovo-thinkpad-t480-2/
ACER One | 14 Inch | Ryzen™ 3 | 8GB RAM | 256GB SSD,ACER,Ryzen™ 3,8GB RAM,256GB SSD,14 Inch,"₹21,700",https://justunboxed.co.in/product/acer-f01/
Dell Vostro 3568 | ,Dell,,,,,"₹21,600",https://justunboxed.co.in/product/dell-vostro-3568/
Lenovo ThinkPad X1 Carbon | 14 Inch | Core™ i5-6th Gen | 8GB RAM | 256GB SSD,Lenovo,Core™ i5-6th Gen,8GB RAM,256GB SSD,14 Inch,"₹21,500",https://justunboxed.co.in/product/lenovo-thinkpad-x1-carbon-i/
Dell Latitude 7480/7490 | 14 Inch | Core™ i5-7th Gen | 8GB RAM | 256GB SSD,Dell,Core™ i5-7th Gen,8GB RAM,256GB SSD,14 Inch,"₹21,300",https://justunboxed.co.in/product/dell-latitude-7480-7490/
Dell Latitude 5490 | 14 Inch | Core™ i5-8th Gen | 8GB RAM | 256GB SSD,Dell,Core™ i5-8th Gen,8GB RAM,256GB SSD,14 Inch,"₹20,400",https://justunboxed.co.in/product/dell-latitude-5490-g17/
Dell Latitude 5480/5490 | 14 Inch | Core™ i5-7th Gen | 8GB RAM | 256GB SSD,Dell,Core™ i5-7th Gen,8GB RAM,256GB SSD,14 Inch,"₹20,400",https://justunboxed.co.in/product/dell-latitude-5480-5490/
Lenovo V15 | ,Lenovo,,,,,"₹19,700",https://justunboxed.co.in/product/lenovo-v15/
Dell Latitude 7470/7480 | 14 Inch | Core™ i5-6th Gen | 8GB RAM | 256GB SSD,Dell,Core™ i5-6th Gen,8GB RAM,256GB SSD,14 Inch,"₹19,300",https://justunboxed.co.in/product/dell-latitude-7470-7480-2/
Dell Latitude 5470/5480 | 14 Inch | Core™ i5-6th Gen | 8GB RAM | 256GB SSD,Dell,Core™ i5-6th Gen,8GB RAM,256GB SSD,14 Inch,"₹18,000",https://justunboxed.co.in/product/dell-latitude-5470-5480/
